id,name,date,genre,description,backdrop,poster
508943,Luca,2021-06-17,"Animation, Comedy, Family, Fantasy",Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,/620hnMVLu6RSZW6a5rwO8gqpt0t.jpg,/jTswp6KyDYKtvC52GbHagrZbGvD.jpg
385128,F9,2021-05-19,"Action, Crime, Thriller",Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.,/xXHZeb1yhJvnSHPzZDqee0zfMb6.jpg,/bOFaAXmWWXC3Rbv4u4uM9ZSzRXP.jpg
595743,SAS: Red Notice,2021-08-11,"Drama, Action, Thriller","An off-duty SAS soldier, Tom Buckingham, must thwart a terror attack on a train running through the Channel Tunnel. As the action escalates on the train, events transpire in the corridors of power that may make the difference as to whether Buckingham and the civilian passengers make it out of the tunnel alive.",/zHHcindG4uVZLPLuYWoo4rnv6Ti.jpg,/6Y9fl8tD1xtyUrOHV2MkCYTpzgi.jpg
482373,Don't Breathe 2,2021-08-12,"Thriller, Horror","The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl, forcing the Blind Man to leave his safe haven to save her.",/pUc51UUQb1lMLVVkDCaZVsCo37U.jpg,/hRMfgGFRAZIlvwVWy8DYJdLTpvN.jpg
825997,Rogue Hostage,2021-06-11,"Action, Thriller",A former Marine races against time to save a group of hostages -- including his young daughter and a congressman — when armed militants take over his stepfather's store.,/uZDE9VnKFnIPmWriMjnp82bH9S8.jpg,/ePYagdzUwKpzTP73n9CD3D1MFn.jpg
675445,PAW Patrol: The Movie,2021-08-09,"Animation, Family, Adventure, Comedy",Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.,/mtRW6eAwOO27h3zrfU2foQFW7Hg.jpg,/ic0intvXZSfBlYPIvWXpU1ivUCO.jpg
497698,Black Widow,2021-07-07,"Action, Adventure, Thriller, Science Fiction","Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",/keIxh0wPr2Ymj0Btjh4gW7JJ89e.jpg,/qAZ0pzat24kLdO3o8ejmbLxyOac.jpg
459151,The Boss Baby: Family Business,2021-07-01,"Animation, Comedy, Adventure, Family",The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,/akwg1s7hV5ljeSYFfkw7hTHjVqk.jpg,/uWStkK8bq9ixY3fc7y209ZleCoF.jpg
744275,After We Fell,2021-09-01,"Romance, Drama","Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.",/qD45xHA35HdJDGOaA1AgDwiWEgO.jpg,/3WfvjNWr5k1Zzww81b3GWc8KQhb.jpg
379686,Space Jam: A New Legacy,2021-07-08,"Animation, Comedy, Family, Science Fiction","When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life.",/8s4h9friP6Ci3adRGahHARVd76E.jpg,/5bFK5d3mVTAvBCXi5NPWH0tYjKl.jpg
